offer_id,offer_uid,offer_type,offer_pledge,offer_pledge_alt,offer_url,img_logo_url,update_time,bank_id,bank_uid,bank_type,bank_name,img_logo_url_alt,idx_license,bank_url,bank_phone,bank_address,bank_code,currency,url_with_details,rateMin,rateMax,meta_rateRange,amountMin,amountMax,meta_amountRange,termMin,termMax,periodFromNotation,periodToNotation,meta_termUnit,product_hash,is_actual,start_time,end_time,rateRange,fullCreditRateMin,fullCreditRateMax,amountRange,termUnit,issuanceCostMin,issuanceCostMax,annualServiceMin,annualServiceMax,cashWithdrawalsAtAtms,cashWithdrawalsAtOtherBankAtms,initialFeeMin,initialFeeMax
17646,20104903,credit,КУБ-Комфорт (под залог автомобиля),КУБ-Комфорт (под залог автомобиля),https://www.banki.ru/products/credits/credit/201049/,https://cdn.banki.ru/cdn/bank/191036_mobile_logo_url.png,08.12.2025 18:56,191036,1910361,bank,Кредит Урал Банк,https://cdn.banki.ru/cdn/bank/191036_mobile_logo_url.png,2584,www.creditural.ru,+7 (3519) 24-89-33,"455044, Челябинская обл., г. Магнитогорск, ул. Гагарина, д. 17
",credituralbank,RUB,https://www.banki.ru/products/credits/credit/201049/,27.65,31.45,,30000,5000000,,397,2555,13m,7y,,05ff3e162d5c256081fe53c67090e53b9a9deb0b2a21a58e3cb0cde810d093cc,True,2026-01-07 13:39:00,,"27,65–31,45%",,,30 000–5 000 000 ₽,4,,,,,,,,
16856,333203,credit,КУБ-Комфорт,КУБ-Комфорт,https://www.banki.ru/products/credits/credit/3332/,https://cdn.banki.ru/cdn/bank/191036_mobile_logo_url.png,08.12.2025 18:55,191036,1910361,bank,Кредит Урал Банк,https://cdn.banki.ru/cdn/bank/191036_mobile_logo_url.png,2584,www.creditural.ru,+7 (3519) 24-89-33,"455044, Челябинская обл., г. Магнитогорск, ул. Гагарина, д. 17
",credituralbank,RUB,https://www.banki.ru/products/credits/credit/3332/,28.15,31.95,,30000,5000000,,397,1825,13m,5y,,4768ceecc0e7e3494d629cfcb9a9eb8332fb034dade7861d39c2f1e5955be54b,True,2026-01-07 13:39:00,,"28,15–31,95%",,,30 000–5 000 000 ₽,4,,,,,,,,
16858,334403,credit,КУБ-Пенсионный,КУБ-Пенсионный,https://www.banki.ru/products/credits/credit/3344/,https://cdn.banki.ru/cdn/bank/191036_mobile_logo_url.png,08.12.2025 18:56,191036,1910361,bank,Кредит Урал Банк,https://cdn.banki.ru/cdn/bank/191036_mobile_logo_url.png,2584,www.creditural.ru,+7 (3519) 24-89-33,"455044, Челябинская обл., г. Магнитогорск, ул. Гагарина, д. 17
",credituralbank,RUB,https://www.banki.ru/products/credits/credit/3344/,28.2,29.45,,10000,1000000,,397,2555,13m,7y,,4b9804c9c5ff488d501310ea729d1a6f69bc268e49d2ee2f53abc55a320ffe47,True,2026-01-07 13:39:00,,"28,2–29,45%",,,10 000–1 000 000 ₽,4,,,,,,,,
18163,20111703,credit,На любые цели (с обеспечением),На любые цели (с обеспечением),https://www.banki.ru/products/credits/credit/201117/,https://cdn.banki.ru/cdn/bank/192803_mobile_logo_url.png,14.11.2025 17:45,192803,1928031,bank,Банк «Заречье»,https://cdn.banki.ru/cdn/bank/192803_mobile_logo_url.png,817,www.zarech.ru,+7 (843) 557-59-03,"420032, г. Казань, ул. Лукницкого, д. 2
",zarechye,RUB,https://www.banki.ru/products/credits/credit/201117/,30.0,34.0,,50000,1000000,,31,1095,1m,3y,,716f71305131f2d09bf645b03e7bec8c8f9451a55ecd60cc5122e6b1594a40fa,True,2026-01-07 13:39:00,,30–34%,,,50 000–1 000 000 ₽,4,,,,,,,,
19507,20111603,credit,На любые цели (под залог недвижимости),На любые цели (под залог недвижимости),https://www.banki.ru/products/credits/credit/201116/,https://cdn.banki.ru/cdn/bank/192803_mobile_logo_url.png,14.11.2025 17:46,192803,1928031,bank,Банк «Заречье»,https://cdn.banki.ru/cdn/bank/192803_mobile_logo_url.png,817,www.zarech.ru,+7 (843) 557-59-03,"420032, г. Казань, ул. Лукницкого, д. 2
",zarechye,RUB,https://www.banki.ru/products/credits/credit/201116/,31.0,32.0,,50000,1000000,,31,1095,1m,3y,,058d22074e9e564abfcb060e09ed545262db1119742af697a0ef56c3a6ca23d2,True,2026-01-07 13:39:00,,31–32%,,,50 000–1 000 000 ₽,4,,,,,,,,
18161,20111503,credit,На любые цели (под залог авто),На любые цели (под залог авто),https://www.banki.ru/products/credits/credit/201115/,https://cdn.banki.ru/cdn/bank/192803_mobile_logo_url.png,14.11.2025 17:45,192803,1928031,bank,Банк «Заречье»,https://cdn.banki.ru/cdn/bank/192803_mobile_logo_url.png,817,www.zarech.ru,+7 (843) 557-59-03,"420032, г. Казань, ул. Лукницкого, д. 2
",zarechye,RUB,https://www.banki.ru/products/credits/credit/201115/,32.0,32.0,,50000,1000000,,31,1095,1m,3y,,8c83c961dadf1d6ce200b3f49be1c0f8137f18c46dcf6c940fd942730f4b4a4f,True,2026-01-07 13:39:00,,32%,,,50 000–1 000 000 ₽,4,,,,,,,,
19507,20111603,credit,На любые цели (под залог недвижимости),На любые цели (под залог недвижимости),https://www.banki.ru/products/credits/credit/201116/,https://cdn.banki.ru/cdn/bank/192803_mobile_logo_url.png,10.12.2025 15:32,192803,1928031,bank,Банк «Заречье»,https://cdn.banki.ru/cdn/bank/192803_mobile_logo_url.png,817,www.zarech.ru,+7 (843) 557-59-03,"420032, г. Казань, ул. Лукницкого, д. 2
",zarechye,RUB,https://www.banki.ru/products/credits/credit/201116/,28.0,28.0,,100000,3000000,,31,1095,1m,3y,,cad4ee28b67745ca057a15d105044012942a3bb937b48336ec6e606479e9bf72,True,2026-01-07 13:39:00,,28%,,,100 000–3 000 000 ₽,4,,,,,,,,
18163,20111703,credit,На любые цели (с обеспечением),На любые цели (с обеспечением),https://www.banki.ru/products/credits/credit/201117/,https://cdn.banki.ru/cdn/bank/192803_mobile_logo_url.png,10.12.2025 15:24,192803,1928031,bank,Банк «Заречье»,https://cdn.banki.ru/cdn/bank/192803_mobile_logo_url.png,817,www.zarech.ru,+7 (843) 557-59-03,"420032, г. Казань, ул. Лукницкого, д. 2
",zarechye,RUB,https://www.banki.ru/products/credits/credit/201117/,30.0,30.0,,100000,3000000,,31,1095,1m,3y,,41d32ede84dff9e2931232405cd33270c532ce2b22c92bcd3db2fe30a328c675,True,2026-01-07 13:39:00,,30%,,,100 000–3 000 000 ₽,4,,,,,,,,
19450,524703,credit,Под залог,Под залог,https://www.banki.ru/products/credits/credit/5247/,https://cdn.banki.ru/cdn/bank/192841_mobile_logo_url.png,18.12.2025 18:06,192841,1928411,bank,Энергобанк,https://cdn.banki.ru/cdn/bank/192841_mobile_logo_url.png,67,www.energobank.ru,8 800-350-54-58,"420111, г. Казань, ул. Пушкина, д. 13/52
",energobank,RUB,https://www.banki.ru/products/credits/credit/5247/,20.5,27.5,,100000,100000000,,397,2555,13m,7y,,6f4c6cf8311d5f6e6b04de61259a3b28fc2ee132c2fb112d0c18baa9f3fa3d8e,True,2026-01-07 13:39:00,,"20,5–27,5%",,,100 000–100 000 000 ₽,4,,,,,,,,
17019,451903,credit,Бюджетный,Бюджетный,https://www.banki.ru/products/credits/credit/4519/,https://cdn.banki.ru/cdn/bank/192841_mobile_logo_url.png,18.12.2025 16:59,192841,1928411,bank,Энергобанк,https://cdn.banki.ru/cdn/bank/192841_mobile_logo_url.png,67,www.energobank.ru,8 800-350-54-58,"420111, г. Казань, ул. Пушкина, д. 13/52
",energobank,RUB,https://www.banki.ru/products/credits/credit/4519/,21.5,28.0,,100000,3000000,,397,2555,13m,7y,,9f8ece1a480433b1c284e86795bea446da030f5c13352983ff55ad49bbdbdb96,True,2026-01-07 13:39:00,,"21,5–28%",,,100 000–3 000 000 ₽,4,,,,,,,,
